id,name,district_id:id,tier_id:id,region_id:id,state_id:id,zip
pattoki_station_id,Pattoki,update_contact_kkn.district_kasur,tier_3,,,55300
atheel_pur_station_id,Atheel Pur,update_contact_kkn.district_kasur,tier_3,,,
bhai_pheru_station_id,Bhai Pheru,update_contact_kkn.district_kasur,tier_3,,,
bhoe_asal_station_id,Bhoe Asal,update_contact_kkn.district_kasur,tier_3,,,
chunian_station_id,Chunian,update_contact_kkn.district_kasur,tier_3,,,
elahabad_station_id,Elahabad,update_contact_kkn.district_kasur,tier_3,,,
kasur_station_id,Kasur,update_contact_kkn.district_kasur,tier_2,,,
khurian_khas_station_id,Khurian Khas,update_contact_kkn.district_kasur,tier_3,,,
kot_radha_kishan_station_id,Kot Radha Kishan,update_contact_kkn.district_kasur,tier_3,,,
mustafabad_station_id,Mustafabad,update_contact_kkn.district_kasur,tier_3,,,
usman_wala_station_id,Usman Wala,update_contact_kkn.district_kasur,tier_3,,,
ahdian_station_id,Ahdian,update_contact_kkn.district_sheikhupura,tier_3,,,
ajnia_wala_station_id,Ajnia Wala,update_contact_kkn.district_sheikhupura,,,,
akhtar_abad_station_id,Akhtar Abad,update_contact_kkn.district_okara,,,,
arif_wala_station_id,Arif Wala,update_contact_kkn.district_pakpattan,tier_3,,,
babakwal_station_id,Babakwal,update_contact_kkn.district_sheikhupura,,,,
bakhshu_station_id,Bakhshu,update_contact_kkn.district_okara,,,,
bama_bala_station_id,Bama Bala,update_contact_kkn.district_okara,,,,
basir_pur_station_id,Basir Pur,update_contact_kkn.district_okara,,,,
bhar_pura_station_id,Bhar Pura,update_contact_kkn.district_okara,,,,
bhikhy_station_id,Bhikhy,update_contact_kkn.district_sheikhupura,,,,
bhuman_shah_station_id,Bhuman Shah,update_contact_kkn.district_okara,,,,
bhutta_mohabbat_station_id,Bhutta Mohabbat,update_contact_kkn.district_okara,,,,
bonga_hayat_station_id,Bonga Hayat,update_contact_kkn.district_pakpattan,,,,
bonga_saleh_station_id,Bonga Saleh,update_contact_kkn.district_okara,,,,
bucheki_station_id,Bucheki,update_contact_kkn.district_nankana_sahib,tier_3,,,
burj_atari_station_id,Burj Atari,update_contact_kkn.district_sheikhupura,,,,
chak_100_-_a/6-r_station_id,Chak 100 - A/6-R,update_contact_kkn.district_sahiwal,,,,
chak_108/7-r_station_id,Chak 108/7-R,update_contact_kkn.district_sahiwal,,,,
chak_110/9-l_station_id,Chak 110/9-L,update_contact_kkn.district_sahiwal,,,,
chak_115/12-l_station_id,Chak 115/12-L,update_contact_kkn.district_sahiwal,,,,
chak_120/7_er_station_id,Chak 120/7 Er,update_contact_kkn.district_sahiwal,,,,
chak_121_eb_station_id,Chak 121 Eb,update_contact_kkn.district_pakpattan,,,,
chak_138/9-l_station_id,Chak 138/9-L,update_contact_kkn.district_sahiwal,,,,
chak_14/1_-l_station_id,Chak 14/1 -L,update_contact_kkn.district_okara,,,,
chak_140/9-l_(149/9-l)_station_id,Chak 140/9-L (149/9-L),update_contact_kkn.district_sahiwal,,,,
chak_145/9-l_station_id,Chak 145/9-L,update_contact_kkn.district_sahiwal,,,,
chak_149/eb_station_id,Chak 149/Eb,update_contact_kkn.district_pakpattan,,,,
chak_15_-sp_station_id,Chak 15 -Sp,update_contact_kkn.district_pakpattan,,,,
chak_166/9-l_station_id,Chak 166/9-L,update_contact_kkn.district_sahiwal,,,,
chak_168/9-l_station_id,Chak 168/9-L,update_contact_kkn.district_sahiwal,,,,
chak_174a/9l_station_id,Chak 174A/9L,update_contact_kkn.district_sahiwal,,,,
chak_176/9-l_station_id,Chak 176/9-L,update_contact_kkn.district_sahiwal,,,,
chak_22/sp_station_id,Chak 22/Sp,update_contact_kkn.district_pakpattan,,,,
chak_24-gd_station_id,Chak 24-Gd,update_contact_kkn.district_okara,,,,
chak_26/2-r_station_id,Chak 26/2-R,update_contact_kkn.district_okara,,,,
chak_32/1-al_station_id,Chak 32/1-Al,update_contact_kkn.district_okara,,,,
chak_34_/4-l_station_id,Chak 34 /4-L,update_contact_kkn.district_okara,,,,
chak_34/12-l_station_id,Chak 34/12-L,update_contact_kkn.district_sahiwal,,,,
chak_35/2-l_station_id,Chak 35/2-L,update_contact_kkn.district_okara,,,,
chak_353_eb_station_id,Chak 353 Eb,update_contact_kkn.district_pakpattan,,,,
chak_37/12-l_station_id,Chak 37/12-L,update_contact_kkn.district_sahiwal,,,,
chak_40/3-r_station_id,Chak 40/3-R,update_contact_kkn.district_okara,,,,
chak_40/d_station_id,Chak 40/D,update_contact_kkn.district_okara,,,,
chak_42/gd_station_id,Chak 42/Gd,update_contact_kkn.district_okara,,,,
chak_43/d_station_id,Chak 43/D,update_contact_kkn.district_okara,,,,
chak_45/12-l_station_id,Chak 45/12-L,update_contact_kkn.district_okara,,,,
chak_47/2-l_station_id,Chak 47/2-L,update_contact_kkn.district_okara,,,,
chak_51-eb_station_id,Chak 51-Eb,update_contact_kkn.district_pakpattan,,,,
chak_57/4-r_station_id,Chak 57/4-R,update_contact_kkn.district_sahiwal,,,,
chak_57/gd_station_id,Chak 57/Gd,update_contact_kkn.district_sahiwal,,,,
chak_5-gb_/_sahib_wala_station_id,Chak 5-Gb / Sahib Wala,update_contact_kkn.district_sheikhupura,,,,
chak_6_/_11-l_station_id,Chak 6 / 11-L,update_contact_kkn.district_sahiwal,,,,
chak_6/4-l_station_id,Chak 6/4-L,update_contact_kkn.district_okara,,,,
chak_60/5-l_(burj_wala)_station_id,Chak 60/5-L (Burj Wala),update_contact_kkn.district_sahiwal,,,,
chak_62/12-l_station_id,Chak 62/12-L,update_contact_kkn.district_sahiwal,,,,
chak_65/12-l_station_id,Chak 65/12-L,update_contact_kkn.district_sahiwal,,,,
chak_67/_eb_station_id,Chak 67/ Eb,update_contact_kkn.district_pakpattan,,,,
chak_67/5-l_(khemkot)_station_id,Chak 67/5-L (Khemkot),update_contact_kkn.district_sahiwal,,,,
chak_7/1-l_station_id,Chak 7/1-L,update_contact_kkn.district_okara,,,,
chak_71/4-r_station_id,Chak 71/4-R,update_contact_kkn.district_sahiwal,,,,
chak_77/5-l_station_id,Chak 77/5-L,update_contact_kkn.district_sahiwal,,,,
chak_8/11-l_station_id,Chak 8/11-L,update_contact_kkn.district_sahiwal,,,,
chak_8/1-ra_station_id,Chak 8/1-Ra,update_contact_kkn.district_okara,,,,
chak_82/12-l_station_id,Chak 82/12-L,update_contact_kkn.district_sahiwal,,,,
chak_90_more_station_id,Chak 90 More,update_contact_kkn.district_sahiwal,,,,
chak_93/9-l_station_id,Chak 93/9-L,update_contact_kkn.district_sahiwal,,,,
chak_94/12-l_station_id,Chak 94/12-L,update_contact_kkn.district_sahiwal,,,,
chak_99/12l_station_id,Chak 99/12L,update_contact_kkn.district_sahiwal,,,,
chak_char_rasala_station_id,Chak Char Rasala,update_contact_kkn.district_sheikhupura,,,,
chak_dal_varyam_station_id,Chak Dal Varyam,update_contact_kkn.district_pakpattan,,,,
chak_haidarabad_station_id,Chak Haidarabad,update_contact_kkn.district_sheikhupura,,,,
chak_jeven_shah_station_id,Chak Jeven Shah,update_contact_kkn.district_pakpattan,,,,
chak_pir_sadar_din_station_id,Chak Pir Sadar Din,update_contact_kkn.district_pakpattan,,,,
chak_shafi_station_id,Chak Shafi,update_contact_kkn.district_pakpattan,,,,
chand_pur_station_id,Chand Pur,update_contact_kkn.district_sheikhupura,,,,
chicha_watni_station_id,Chicha Watni,update_contact_kkn.district_sahiwal,tier_3,,,
chicho_ki_malian_station_id,Chicho Ki Malian,update_contact_kkn.district_sheikhupura,,,,
churasta_mian_khan_station_id,Churasta Mian Khan,update_contact_kkn.district_okara,,,,
dala_wahgah_station_id,Dala Wahgah,update_contact_kkn.district_sheikhupura,,,,
darbar_ghous_bala_pir_station_id,Darbar Ghous Bala Pir,update_contact_kkn.district_okara,,,,
darbar_kot_station_id,Darbar Kot,update_contact_kkn.district_sheikhupura,,,,
depalpur_station_id,Depalpur,update_contact_kkn.district_okara,tier_2,,,
dharowali_station_id,Dharowali,update_contact_kkn.district_sheikhupura,,,,
farooqabad_station_id,Farooqabad,update_contact_kkn.district_sheikhupura,tier_3,,,
feroze_watnan_station_id,Feroze Watnan,update_contact_kkn.district_sheikhupura,,,,
ghang_station_id,Ghang,update_contact_kkn.district_sheikhupura,,,,
